account,email,owner,marketplace,session,period,market,target,order,original,supplier,consumer,type,side,units,price,createdDate,lastModifiedDate,16. just time,17. just second,,trade,fair value,trade price,mispricing,time mins,time secs,buy/sell
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318929,1318929,1318929,1318936,LIMIT,BUY,1,310,2018-08-31T07:32:25.662,2018-08-31T07:32:51.036,,32:25.7,7:32:25,0,750,#N/A,#N/A,0:00:00,0,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318930,1318930,1318930,1318969,LIMIT,BUY,1,500,2018-08-31T07:32:32.795,2018-08-31T07:33:41.520,,32:32.8,7:32:32,0,750,#N/A,#N/A,0:00:07,7.13,1
pert-josh,M5@bmm,5,288,6708,1,567,NULL,1318931,1318931,1318931,1318932,LIMIT,SELL,1,560,2018-08-31T07:32:38.186,2018-08-31T07:32:42.694,,32:38.2,7:32:38,0,750,#N/A,#N/A,0:00:13,12.52,-1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318932,1318932,1318932,1318931,LIMIT,BUY,1,560,2018-08-31T07:32:42.689,2018-08-31T07:32:42.694,,32:42.7,7:32:42,1,750,560,-190,0:00:17,17.03,1
pert-josh,M4@bmm,4,288,6708,1,567,NULL,1318933,1318933,1318933,1318984,LIMIT,BUY,1,500,2018-08-31T07:32:44.901,2018-08-31T07:34:18.585,,32:44.9,7:32:44,0,750,#N/A,#N/A,0:00:19,19.24,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318934,1318934,1318934,1318967,LIMIT,BUY,1,560,2018-08-31T07:32:48.120,2018-08-31T07:33:38.760,,32:48.1,7:32:48,0,750,#N/A,#N/A,0:00:22,22.46,1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318935,1318935,1318935,1318983,LIMIT,BUY,1,505,2018-08-31T07:32:48.897,2018-08-31T07:34:16.588,,32:48.9,7:32:48,0,750,#N/A,#N/A,0:00:23,23.24,1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318936,1318929,1318929,1318929,CANCEL,BUY,1,310,2018-08-31T07:32:51.031,2018-08-31T07:32:51.036,,32:51.0,7:32:51,0,750,#N/A,#N/A,0:00:25,25.37,1
pert-josh,M7@bmm,7,288,6708,1,567,NULL,1318937,1318937,1318937,1318939,LIMIT,SELL,1,570,2018-08-31T07:32:51.057,2018-08-31T07:32:53.398,,32:51.1,7:32:51,0,750,#N/A,#N/A,0:00:25,25.4,-1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318938,1318938,1318938,0,LIMIT,BUY,1,575,2018-08-31T07:32:53.389,2018-08-31T07:32:53.398,,32:53.4,7:32:53,0,750,#N/A,#N/A,0:00:28,27.73,1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318939,1318938,1318938,1318937,LIMIT,BUY,1,570,2018-08-31T07:32:53.394,2018-08-31T07:32:53.398,,32:53.4,7:32:53,1,750,570,-180,0:00:28,27.73,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318940,1318940,1318940,1318966,LIMIT,BUY,1,570,2018-08-31T07:32:53.694,2018-08-31T07:33:37.554,,32:53.7,7:32:53,0,750,#N/A,#N/A,0:00:28,28.03,1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318941,1318941,1318941,1318970,LIMIT,BUY,1,575,2018-08-31T07:33:00.169,2018-08-31T07:33:46.165,,33:00.2,7:33:00,0,750,#N/A,#N/A,0:00:35,34.51,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318942,1318942,1318942,1318943,LIMIT,SELL,1,605,2018-08-31T07:33:02.041,2018-08-31T07:33:05.328,,33:02.0,7:33:02,0,750,#N/A,#N/A,0:00:36,36.38,-1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318943,1318943,1318943,1318942,LIMIT,BUY,1,605,2018-08-31T07:33:05.323,2018-08-31T07:33:05.328,,33:05.3,7:33:05,1,750,605,-145,0:00:40,39.66,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318944,1318944,1318944,1318954,LIMIT,BUY,1,605,2018-08-31T07:33:05.511,2018-08-31T07:33:19.016,,33:05.5,7:33:05,0,750,#N/A,#N/A,0:00:40,39.85,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318945,1318945,1318945,1318950,LIMIT,SELL,1,1000,2018-08-31T07:33:08.304,2018-08-31T07:33:16.433,,33:08.3,7:33:08,0,750,#N/A,#N/A,0:00:43,42.64,-1
pert-josh,M7@bmm,7,288,6708,1,567,NULL,1318946,1318946,1318946,1319061,LIMIT,BUY,1,545,2018-08-31T07:33:10.659,2018-08-31T07:36:47.788,,33:10.7,7:33:10,0,750,#N/A,#N/A,0:00:45,45,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318947,1318947,1318947,1318949,LIMIT,BUY,1,640,2018-08-31T07:33:14.159,2018-08-31T07:33:16.010,,33:14.2,7:33:14,0,750,#N/A,#N/A,0:00:48,48.5,1
pert-josh,M1@bmm,1,288,6708,1,567,NULL,1318948,1318948,1318948,0,LIMIT,SELL,1,610,2018-08-31T07:33:16.002,2018-08-31T07:33:16.010,,33:16.0,7:33:16,0,750,#N/A,#N/A,0:00:50,50.34,-1
pert-josh,M1@bmm,1,288,6708,1,567,NULL,1318949,1318948,1318948,1318947,LIMIT,SELL,1,640,2018-08-31T07:33:16.007,2018-08-31T07:33:16.010,,33:16.0,7:33:16,1,750,640,-110,0:00:50,50.35,-1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318950,1318945,1318945,1318945,CANCEL,SELL,1,1000,2018-08-31T07:33:16.429,2018-08-31T07:33:16.433,,33:16.4,7:33:16,0,750,#N/A,#N/A,0:00:51,50.77,-1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318951,1318951,1318951,1318955,LIMIT,SELL,1,845,2018-08-31T07:33:17.450,2018-08-31T07:33:22.315,,33:17.4,7:33:17,0,750,#N/A,#N/A,0:00:52,51.79,-1
pert-josh,M7@bmm,7,288,6708,1,567,NULL,1318952,1318952,1318952,NULL,LIMIT,BUY,1,560,2018-08-31T07:33:17.802,2018-08-31T07:33:17.804,,33:17.8,7:33:17,0,750,#N/A,#N/A,0:00:52,52.14,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318953,1318953,1318953,0,LIMIT,SELL,1,585,2018-08-31T07:33:19.008,2018-08-31T07:33:19.016,,33:19.0,7:33:19,0,750,#N/A,#N/A,0:00:53,53.35,-1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318954,1318953,1318953,1318944,LIMIT,SELL,1,605,2018-08-31T07:33:19.013,2018-08-31T07:33:19.016,,33:19.0,7:33:19,1,750,605,-145,0:00:53,53.35,-1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318955,1318951,1318951,1318951,CANCEL,SELL,1,845,2018-08-31T07:33:22.311,2018-08-31T07:33:22.315,,33:22.3,7:33:22,0,750,#N/A,#N/A,0:00:57,56.65,-1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318956,1318956,1318956,1319015,LIMIT,SELL,1,760,2018-08-31T07:33:23.593,2018-08-31T07:35:35.068,,33:23.6,7:33:23,0,750,#N/A,#N/A,0:00:58,57.93,-1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318957,1318957,1318957,1318960,LIMIT,SELL,1,585,2018-08-31T07:33:23.602,2018-08-31T07:33:26.832,,33:23.6,7:33:23,0,750,#N/A,#N/A,0:00:58,57.94,-1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318958,1318958,1318958,1318968,LIMIT,SELL,1,995,2018-08-31T07:33:23.802,2018-08-31T07:33:39.213,,33:23.8,7:33:23,0,750,#N/A,#N/A,0:00:58,58.14,-1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318959,1318959,1318959,0,LIMIT,BUY,1,640,2018-08-31T07:33:26.825,2018-08-31T07:33:26.832,,33:26.8,7:33:26,0,750,#N/A,#N/A,0:01:01,61.16,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318960,1318959,1318959,1318957,LIMIT,BUY,1,585,2018-08-31T07:33:26.829,2018-08-31T07:33:26.832,,33:26.8,7:33:26,1,750,585,-165,0:01:01,61.17,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318961,1318961,1318961,1318963,LIMIT,SELL,1,585,2018-08-31T07:33:28.968,2018-08-31T07:33:30.370,,33:29.0,7:33:28,0,750,#N/A,#N/A,0:01:03,63.31,-1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318962,1318962,1318962,0,LIMIT,BUY,1,680,2018-08-31T07:33:30.361,2018-08-31T07:33:30.370,,33:30.4,7:33:30,0,750,#N/A,#N/A,0:01:05,64.7,1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318963,1318962,1318962,1318961,LIMIT,BUY,1,585,2018-08-31T07:33:30.366,2018-08-31T07:33:30.370,,33:30.4,7:33:30,1,750,585,-165,0:01:05,64.7,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318964,1318964,1318964,NULL,LIMIT,BUY,1,640,2018-08-31T07:33:30.390,2018-08-31T07:33:30.392,,33:30.4,7:33:30,0,750,#N/A,#N/A,0:01:05,64.73,1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318965,1318965,1318965,1318997,LIMIT,SELL,1,830,2018-08-31T07:33:37.147,2018-08-31T07:34:50.964,,33:37.1,7:33:37,0,750,#N/A,#N/A,0:01:11,71.48,-1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318966,1318940,1318940,1318940,CANCEL,BUY,1,570,2018-08-31T07:33:37.550,2018-08-31T07:33:37.554,,33:37.5,7:33:37,0,750,#N/A,#N/A,0:01:12,71.89,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318967,1318934,1318934,1318934,CANCEL,BUY,1,560,2018-08-31T07:33:38.756,2018-08-31T07:33:38.759,,33:38.8,7:33:38,0,750,#N/A,#N/A,0:01:13,73.09,1
pert-josh,M3@bmm,3,288,6708,1,567,NULL,1318968,1318958,1318958,1318958,CANCEL,SELL,1,995,2018-08-31T07:33:39.209,2018-08-31T07:33:39.213,,33:39.2,7:33:39,0,750,#N/A,#N/A,0:01:14,73.55,-1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318969,1318930,1318930,1318930,CANCEL,BUY,1,500,2018-08-31T07:33:41.513,2018-08-31T07:33:41.520,,33:41.5,7:33:41,0,750,#N/A,#N/A,0:01:16,75.85,1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318970,1318941,1318941,1318941,CANCEL,BUY,1,575,2018-08-31T07:33:46.161,2018-08-31T07:33:46.165,,33:46.2,7:33:46,0,750,#N/A,#N/A,0:01:20,80.5,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318971,1318971,1318971,1318981,LIMIT,BUY,1,645,2018-08-31T07:33:46.264,2018-08-31T07:34:09.410,,33:46.3,7:33:46,0,750,#N/A,#N/A,0:01:21,80.6,1
pert-josh,M4@bmm,4,288,6708,1,567,NULL,1318972,1318972,1318972,1318974,LIMIT,BUY,1,700,2018-08-31T07:33:47.919,2018-08-31T07:33:54.177,,33:47.9,7:33:47,0,750,#N/A,#N/A,0:01:22,82.26,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318973,1318973,1318973,0,LIMIT,SELL,1,670,2018-08-31T07:33:54.168,2018-08-31T07:33:54.176,,33:54.2,7:33:54,0,750,#N/A,#N/A,0:01:29,88.51,-1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318974,1318973,1318973,1318972,LIMIT,SELL,1,700,2018-08-31T07:33:54.173,2018-08-31T07:33:54.177,,33:54.2,7:33:54,1,750,700,-50,0:01:29,88.51,-1
pert-josh,M1@bmm,1,288,6708,1,567,NULL,1318975,1318975,1318975,1318992,LIMIT,SELL,1,750,2018-08-31T07:33:57.161,2018-08-31T07:34:41.774,,33:57.2,7:33:57,0,750,#N/A,#N/A,0:01:31,91.5,-1
pert-josh,M6@bmm,6,288,6708,1,567,NULL,1318976,1318976,1318976,1318979,LIMIT,BUY,1,745,2018-08-31T07:34:00.754,2018-08-31T07:34:02.952,,34:00.8,7:34:00,0,750,#N/A,#N/A,0:01:35,95.09,1
pert-josh,M8@bmm,8,288,6708,1,567,NULL,1318977,1318977,1318977,NULL,LIMIT,BUY,1,700,2018-08-31T07:34:01.560,2018-08-31T07:34:01.562,,34:01.6,7:34:01,0,750,#N/A,#N/A,0:01:36,95.9,1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318978,1318978,1318978,0,LIMIT,SELL,1,740,2018-08-31T07:34:02.945,2018-08-31T07:34:02.952,,34:02.9,7:34:02,0,750,#N/A,#N/A,0:01:37,97.28,-1
pert-josh,M2@bmm,2,288,6708,1,567,NULL,1318979,1318978,1318978,1318976,LIMIT,SELL,1,745,2018-08-31T07:34:02.949,2018-08-31T07:34:02.952,,34:02.9,7:34:02,1,750,745,-5,0:01:37,97.29,-1
