,hr,time
568,65.3847,0.0
570,71.5847,1.0
572,65.4214,2.0
574,69.2903,3.0
576,67.2881,4.0
578,62.1507,5.0
580,61.1552,6.0
582,62.1607,7.0
584,65.9115,8.0
586,66.1161,9.0
588,61.7083,10.0
590,59.663000000000004,11.0
592,61.7901,12.0
594,62.1203,13.0
596,62.0001,14.0
598,62.2598,15.0
600,69.0586,16.0
602,64.6204,17.0
604,63.9384,18.0
606,68.2186,19.0
608,63.5194,20.0
610,60.6196,21.0
612,61.9658,22.0
614,66.0192,23.0
616,62.1618,24.0
618,60.4697,25.0
620,60.7458,26.0
622,66.8633,27.0
624,60.8368,28.0
626,59.3872,29.0
628,65.4612,30.0
630,62.5869,31.0
632,58.8657,32.0
634,59.6171,33.0
636,66.8683,34.0
638,61.7335,35.0
640,59.601000000000006,36.0
642,60.8887,37.0
644,66.8052,38.0
646,59.5873,39.0
648,57.6687,40.0
650,61.7514,41.0
652,67.4883,42.0
654,60.7253,43.0
656,56.4974,44.0
658,60.5325,45.0
660,63.9633,46.0
662,57.2059,47.0
664,56.4792,48.0
666,58.4254,49.0
668,61.8652,50.0
670,59.2114,51.0
672,56.678999999999995,52.0
674,56.678999999999995,53.0
676,62.8105,54.0
678,57.6335,55.0
680,56.9944,56.0
682,60.077,57.0
684,67.2762,58.0
686,59.9124,59.0
688,58.7696,60.0
690,57.4915,61.0
692,63.1717,62.0
694,58.8882,63.0
696,57.4164,64.0
698,56.367,65.0
700,60.3359,66.0
702,65.7169,67.0
704,61.3289,68.0
706,60.0563,69.0
708,65.0289,70.0
710,66.7047,71.0
712,59.4123,72.0
714,58.8564,73.0
716,61.8167,74.0
718,65.0043,75.0
720,60.5882,76.0
722,59.2033,77.0
724,63.7848,78.0
726,65.2108,79.0
728,59.9689,80.0
730,57.597,81.0
732,59.1312,82.0
734,60.081,83.0
736,59.3685,84.0
738,60.6382,85.0
740,60.6382,86.0
742,68.7255,87.0
744,60.4379,88.0
746,62.408,89.0
748,64.15,90.0
750,61.5631,91.0
752,61.6988,92.0
754,64.4904,93.0
756,68.3661,94.0
758,62.3879,95.0
760,59.6698,96.0
762,63.0666,97.0
764,67.0803,98.0
766,61.6983,99.0
768,58.967,100.0
770,63.3165,101.0
772,64.2611,102.0
774,60.1406,103.0
776,59.531000000000006,104.0
778,64.5794,105.0
780,64.0126,106.0
782,59.3919,107.0
784,59.7629,108.0
786,63.7508,109.0
788,63.7334,110.0
790,60.7372,111.0
792,63.1057,112.0
794,71.1218,113.0
796,63.3857,114.0
798,59.9749,115.0
800,65.1124,116.0
802,67.9348,117.0
804,60.0365,118.0
806,58.4683,119.0
808,62.7512,120.0
810,62.3705,121.0
812,58.1092,122.0
814,58.0541,123.0
816,62.5324,124.0
818,65.0867,125.0
820,61.464,126.0
822,61.7802,127.0
824,64.7906,128.0
826,60.0997,129.0
828,58.1076,130.0
830,64.2432,131.0
832,60.7359,132.0
834,56.3941,133.0
836,57.2764,134.0
838,61.7149,135.0
840,59.7675,136.0
842,57.8815,137.0
844,61.9879,138.0
846,67.5489,139.0
848,61.5416,140.0
850,60.4138,141.0
852,64.3445,142.0
854,63.1693,143.0
856,59.113,144.0
858,59.5471,145.0
860,65.9329,146.0
862,63.3125,147.0
864,60.9606,148.0
866,63.8289,149.0
868,65.666,150.0
870,60.8052,151.0
872,60.6836,152.0
874,62.5243,153.0
876,66.4603,154.0
878,61.2787,155.0
880,59.6302,156.0
882,64.1232,157.0
884,65.3411,158.0
886,58.6473,159.0
